,Timestamp
72,2011-01-10 00:00:00
73,2011-01-10 03:00:00
74,2011-01-10 06:00:00
75,2011-01-10 09:00:00
76,2011-01-10 12:00:00
77,2011-01-10 15:00:00
78,2011-01-10 18:00:00
79,2011-01-10 21:00:00
80,2011-01-11 00:00:00
81,2011-01-11 03:00:00
82,2011-01-11 06:00:00
83,2011-01-11 09:00:00
84,2011-01-11 12:00:00
85,2011-01-11 15:00:00
86,2011-01-11 18:00:00
87,2011-01-11 21:00:00
88,2011-01-12 00:00:00
89,2011-01-12 03:00:00
90,2011-01-12 06:00:00
91,2011-01-12 09:00:00
92,2011-01-12 12:00:00
93,2011-01-12 15:00:00
94,2011-01-12 18:00:00
95,2011-01-12 21:00:00
96,2011-01-13 00:00:00
97,2011-01-13 03:00:00
98,2011-01-13 06:00:00
99,2011-01-13 09:00:00
100,2011-01-13 12:00:00
101,2011-01-13 15:00:00
102,2011-01-13 18:00:00
103,2011-01-13 21:00:00
104,2011-01-14 00:00:00
105,2011-01-14 03:00:00
106,2011-01-14 06:00:00
107,2011-01-14 09:00:00
108,2011-01-14 12:00:00
109,2011-01-14 15:00:00
110,2011-01-14 18:00:00
111,2011-01-14 21:00:00
112,2011-01-15 00:00:00
113,2011-01-15 03:00:00
114,2011-01-15 06:00:00
115,2011-01-15 09:00:00
116,2011-01-15 12:00:00
117,2011-01-15 15:00:00
118,2011-01-15 18:00:00
119,2011-01-15 21:00:00
120,2011-01-16 00:00:00
121,2011-01-16 03:00:00
122,2011-01-16 06:00:00
123,2011-01-16 09:00:00
124,2011-01-16 12:00:00
125,2011-01-16 15:00:00
126,2011-01-16 18:00:00
127,2011-01-16 21:00:00
128,2011-01-17 00:00:00
129,2011-01-17 03:00:00
130,2011-01-17 06:00:00
131,2011-01-17 09:00:00
132,2011-01-17 12:00:00
133,2011-01-17 15:00:00
134,2011-01-17 18:00:00
135,2011-01-17 21:00:00
136,2011-01-18 00:00:00
137,2011-01-18 03:00:00
138,2011-01-18 06:00:00
139,2011-01-18 09:00:00
140,2011-01-18 12:00:00
141,2011-01-18 15:00:00
142,2011-01-18 18:00:00
143,2011-01-18 21:00:00
144,2011-01-19 00:00:00
145,2011-01-19 03:00:00
146,2011-01-19 06:00:00
147,2011-01-19 09:00:00
148,2011-01-19 12:00:00
149,2011-01-19 15:00:00
150,2011-01-19 18:00:00
151,2011-01-19 21:00:00
152,2011-01-20 00:00:00
153,2011-01-20 03:00:00
154,2011-01-20 06:00:00
155,2011-01-20 09:00:00
156,2011-01-20 12:00:00
157,2011-01-20 15:00:00
158,2011-01-20 18:00:00
159,2011-01-20 21:00:00
160,2011-01-21 00:00:00
161,2011-01-21 03:00:00
162,2011-01-21 06:00:00
163,2011-01-21 09:00:00
164,2011-01-21 12:00:00
165,2011-01-21 15:00:00
166,2011-01-21 18:00:00
167,2011-01-21 21:00:00
168,2011-01-22 00:00:00
169,2011-01-22 03:00:00
170,2011-01-22 06:00:00
171,2011-01-22 09:00:00
172,2011-01-22 12:00:00
173,2011-01-22 15:00:00
174,2011-01-22 18:00:00
175,2011-01-22 21:00:00
176,2011-01-23 00:00:00
177,2011-01-23 03:00:00
178,2011-01-23 06:00:00
179,2011-01-23 09:00:00
180,2011-01-23 12:00:00
181,2011-01-23 15:00:00
182,2011-01-23 18:00:00
183,2011-01-23 21:00:00
184,2011-01-24 00:00:00
185,2011-01-24 03:00:00
186,2011-01-24 06:00:00
187,2011-01-24 09:00:00
188,2011-01-24 12:00:00
189,2011-01-24 15:00:00
190,2011-01-24 18:00:00
191,2011-01-24 21:00:00
192,2011-01-25 00:00:00
193,2011-01-25 03:00:00
194,2011-01-25 06:00:00
195,2011-01-25 09:00:00
196,2011-01-25 12:00:00
197,2011-01-25 15:00:00
198,2011-01-25 18:00:00
199,2011-01-25 21:00:00
200,2011-01-26 00:00:00
201,2011-01-26 03:00:00
202,2011-01-26 06:00:00
203,2011-01-26 09:00:00
204,2011-01-26 12:00:00
205,2011-01-26 15:00:00
206,2011-01-26 18:00:00
207,2011-01-26 21:00:00
208,2011-01-27 00:00:00
209,2011-01-27 03:00:00
210,2011-01-27 06:00:00
211,2011-01-27 09:00:00
212,2011-01-27 12:00:00
213,2011-01-27 15:00:00
214,2011-01-27 18:00:00
215,2011-01-27 21:00:00
216,2011-01-28 00:00:00
217,2011-01-28 03:00:00
218,2011-01-28 06:00:00
219,2011-01-28 09:00:00
220,2011-01-28 12:00:00
221,2011-01-28 15:00:00
222,2011-01-28 18:00:00
223,2011-01-28 21:00:00
224,2011-01-29 00:00:00
225,2011-01-29 03:00:00
226,2011-01-29 06:00:00
227,2011-01-29 09:00:00
228,2011-01-29 12:00:00
229,2011-01-29 15:00:00
230,2011-01-29 18:00:00
231,2011-01-29 21:00:00
232,2011-01-30 00:00:00
233,2011-01-30 03:00:00
234,2011-01-30 06:00:00
235,2011-01-30 09:00:00
236,2011-01-30 12:00:00
237,2011-01-30 15:00:00
238,2011-01-30 18:00:00
239,2011-01-30 21:00:00
240,2011-01-31 00:00:00
241,2011-01-31 03:00:00
242,2011-01-31 06:00:00
243,2011-01-31 09:00:00
244,2011-01-31 12:00:00
245,2011-01-31 15:00:00
246,2011-01-31 18:00:00
247,2011-01-31 21:00:00
248,2011-02-01 00:00:00
249,2011-02-01 03:00:00
250,2011-02-01 06:00:00
251,2011-02-01 09:00:00
252,2011-02-01 12:00:00
253,2011-02-01 15:00:00
254,2011-02-01 18:00:00
255,2011-02-01 21:00:00
256,2011-02-02 00:00:00
257,2011-02-02 03:00:00
258,2011-02-02 06:00:00
259,2011-02-02 09:00:00
260,2011-02-02 12:00:00
261,2011-02-02 15:00:00
262,2011-02-02 18:00:00
263,2011-02-02 21:00:00
264,2011-02-03 00:00:00
265,2011-02-03 03:00:00
266,2011-02-03 06:00:00
267,2011-02-03 09:00:00
268,2011-02-03 12:00:00
269,2011-02-03 15:00:00
270,2011-02-03 18:00:00
271,2011-02-03 21:00:00
272,2011-02-04 00:00:00
273,2011-02-04 03:00:00
274,2011-02-04 06:00:00
275,2011-02-04 09:00:00
276,2011-02-04 12:00:00
277,2011-02-04 15:00:00
278,2011-02-04 18:00:00
279,2011-02-04 21:00:00
280,2011-02-05 00:00:00
281,2011-02-05 03:00:00
282,2011-02-05 06:00:00
283,2011-02-05 09:00:00
284,2011-02-05 12:00:00
285,2011-02-05 15:00:00
286,2011-02-05 18:00:00
287,2011-02-05 21:00:00
288,2011-02-06 00:00:00
289,2011-02-06 03:00:00
290,2011-02-06 06:00:00
291,2011-02-06 09:00:00
292,2011-02-06 12:00:00
293,2011-02-06 15:00:00
294,2011-02-06 18:00:00
295,2011-02-06 21:00:00
296,2011-02-07 00:00:00
297,2011-02-07 03:00:00
298,2011-02-07 06:00:00
299,2011-02-07 09:00:00
300,2011-02-07 12:00:00
301,2011-02-07 15:00:00
302,2011-02-07 18:00:00
303,2011-02-07 21:00:00
304,2011-02-08 00:00:00
305,2011-02-08 03:00:00
306,2011-02-08 06:00:00
307,2011-02-08 09:00:00
308,2011-02-08 12:00:00
309,2011-02-08 15:00:00
310,2011-02-08 18:00:00
311,2011-02-08 21:00:00
312,2011-02-09 00:00:00
313,2011-02-09 03:00:00
314,2011-02-09 06:00:00
315,2011-02-09 09:00:00
316,2011-02-09 12:00:00
317,2011-02-09 15:00:00
318,2011-02-09 18:00:00
319,2011-02-09 21:00:00
320,2011-02-10 00:00:00
321,2011-02-10 03:00:00
322,2011-02-10 06:00:00
323,2011-02-10 09:00:00
324,2011-02-10 12:00:00
325,2011-02-10 15:00:00
326,2011-02-10 18:00:00
327,2011-02-10 21:00:00
328,2011-02-11 00:00:00
329,2011-02-11 03:00:00
330,2011-02-11 06:00:00
331,2011-02-11 09:00:00
332,2011-02-11 12:00:00
333,2011-02-11 15:00:00
334,2011-02-11 18:00:00
335,2011-02-11 21:00:00
336,2011-02-12 00:00:00
337,2011-02-12 03:00:00
338,2011-02-12 06:00:00
339,2011-02-12 09:00:00
340,2011-02-12 12:00:00
341,2011-02-12 15:00:00
342,2011-02-12 18:00:00
343,2011-02-12 21:00:00
344,2011-02-13 00:00:00
345,2011-02-13 03:00:00
346,2011-02-13 06:00:00
347,2011-02-13 09:00:00
348,2011-02-13 12:00:00
349,2011-02-13 15:00:00
350,2011-02-13 18:00:00
351,2011-02-13 21:00:00
352,2011-02-14 00:00:00
353,2011-02-14 03:00:00
354,2011-02-14 06:00:00
355,2011-02-14 09:00:00
356,2011-02-14 12:00:00
357,2011-02-14 15:00:00
358,2011-02-14 18:00:00
359,2011-02-14 21:00:00
360,2011-02-15 00:00:00
361,2011-02-15 03:00:00
362,2011-02-15 06:00:00
363,2011-02-15 09:00:00
364,2011-02-15 12:00:00
365,2011-02-15 15:00:00
366,2011-02-15 18:00:00
367,2011-02-15 21:00:00
368,2011-02-16 00:00:00
369,2011-02-16 03:00:00
370,2011-02-16 06:00:00
371,2011-02-16 09:00:00
372,2011-02-16 12:00:00
373,2011-02-16 15:00:00
374,2011-02-16 18:00:00
375,2011-02-16 21:00:00
376,2011-02-17 00:00:00
377,2011-02-17 03:00:00
378,2011-02-17 06:00:00
379,2011-02-17 09:00:00
380,2011-02-17 12:00:00
381,2011-02-17 15:00:00
382,2011-02-17 18:00:00
383,2011-02-17 21:00:00
384,2011-02-18 00:00:00
385,2011-02-18 03:00:00
386,2011-02-18 06:00:00
387,2011-02-18 09:00:00
388,2011-02-18 12:00:00
389,2011-02-18 15:00:00
390,2011-02-18 18:00:00
391,2011-02-18 21:00:00
392,2011-02-19 00:00:00
393,2011-02-19 03:00:00
394,2011-02-19 06:00:00
395,2011-02-19 09:00:00
396,2011-02-19 12:00:00
397,2011-02-19 15:00:00
398,2011-02-19 18:00:00
399,2011-02-19 21:00:00
400,2011-02-20 00:00:00
401,2011-02-20 03:00:00
402,2011-02-20 06:00:00
403,2011-02-20 09:00:00
404,2011-02-20 12:00:00
405,2011-02-20 15:00:00
406,2011-02-20 18:00:00
407,2011-02-20 21:00:00
408,2011-02-21 00:00:00
409,2011-02-21 03:00:00
410,2011-02-21 06:00:00
411,2011-02-21 09:00:00
412,2011-02-21 12:00:00
413,2011-02-21 15:00:00
414,2011-02-21 18:00:00
415,2011-02-21 21:00:00
416,2011-02-22 00:00:00
417,2011-02-22 03:00:00
418,2011-02-22 06:00:00
419,2011-02-22 09:00:00
420,2011-02-22 12:00:00
421,2011-02-22 15:00:00
422,2011-02-22 18:00:00
423,2011-02-22 21:00:00
424,2011-02-23 00:00:00
425,2011-02-23 03:00:00
426,2011-02-23 06:00:00
427,2011-02-23 09:00:00
428,2011-02-23 12:00:00
429,2011-02-23 15:00:00
430,2011-02-23 18:00:00
431,2011-02-23 21:00:00
432,2011-02-24 00:00:00
433,2011-02-24 03:00:00
434,2011-02-24 06:00:00
435,2011-02-24 09:00:00
436,2011-02-24 12:00:00
437,2011-02-24 15:00:00
438,2011-02-24 18:00:00
439,2011-02-24 21:00:00
440,2011-02-25 00:00:00
441,2011-02-25 03:00:00
442,2011-02-25 06:00:00
443,2011-02-25 09:00:00
444,2011-02-25 12:00:00
445,2011-02-25 15:00:00
446,2011-02-25 18:00:00
447,2011-02-25 21:00:00
448,2011-02-26 00:00:00
449,2011-02-26 03:00:00
450,2011-02-26 06:00:00
451,2011-02-26 09:00:00
452,2011-02-26 12:00:00
453,2011-02-26 15:00:00
454,2011-02-26 18:00:00
455,2011-02-26 21:00:00
456,2011-02-27 00:00:00
457,2011-02-27 03:00:00
458,2011-02-27 06:00:00
459,2011-02-27 09:00:00
460,2011-02-27 12:00:00
461,2011-02-27 15:00:00
462,2011-02-27 18:00:00
463,2011-02-27 21:00:00
464,2011-02-28 00:00:00
465,2011-02-28 03:00:00
466,2011-02-28 06:00:00
467,2011-02-28 09:00:00
468,2011-02-28 12:00:00
469,2011-02-28 15:00:00
470,2011-02-28 18:00:00
471,2011-02-28 21:00:00
472,2011-03-01 00:00:00
473,2011-03-01 03:00:00
474,2011-03-01 06:00:00
475,2011-03-01 09:00:00
476,2011-03-01 12:00:00
477,2011-03-01 15:00:00
478,2011-03-01 18:00:00
479,2011-03-01 21:00:00
480,2011-03-02 00:00:00
481,2011-03-02 03:00:00
482,2011-03-02 06:00:00
483,2011-03-02 09:00:00
484,2011-03-02 12:00:00
485,2011-03-02 15:00:00
486,2011-03-02 18:00:00
487,2011-03-02 21:00:00
488,2011-03-03 00:00:00
489,2011-03-03 03:00:00
490,2011-03-03 06:00:00
491,2011-03-03 09:00:00
492,2011-03-03 12:00:00
493,2011-03-03 15:00:00
494,2011-03-03 18:00:00
495,2011-03-03 21:00:00
496,2011-03-04 00:00:00
497,2011-03-04 03:00:00
498,2011-03-04 06:00:00
499,2011-03-04 09:00:00
500,2011-03-04 12:00:00
501,2011-03-04 15:00:00
502,2011-03-04 18:00:00
503,2011-03-04 21:00:00
504,2011-03-05 00:00:00
505,2011-03-05 03:00:00
506,2011-03-05 06:00:00
507,2011-03-05 09:00:00
508,2011-03-05 12:00:00
509,2011-03-05 15:00:00
510,2011-03-05 18:00:00
511,2011-03-05 21:00:00
512,2011-03-06 00:00:00
513,2011-03-06 03:00:00
514,2011-03-06 06:00:00
515,2011-03-06 09:00:00
516,2011-03-06 12:00:00
517,2011-03-06 15:00:00
518,2011-03-06 18:00:00
519,2011-03-06 21:00:00
520,2011-03-07 00:00:00
521,2011-03-07 03:00:00
522,2011-03-07 06:00:00
523,2011-03-07 09:00:00
524,2011-03-07 12:00:00
525,2011-03-07 15:00:00
526,2011-03-07 18:00:00
527,2011-03-07 21:00:00
528,2011-03-08 00:00:00
529,2011-03-08 03:00:00
530,2011-03-08 06:00:00
531,2011-03-08 09:00:00
532,2011-03-08 12:00:00
533,2011-03-08 15:00:00
534,2011-03-08 18:00:00
535,2011-03-08 21:00:00
536,2011-03-09 00:00:00
537,2011-03-09 03:00:00
538,2011-03-09 06:00:00
539,2011-03-09 09:00:00
540,2011-03-09 12:00:00
541,2011-03-09 15:00:00
542,2011-03-09 18:00:00
543,2011-03-09 21:00:00
544,2011-03-10 00:00:00
545,2011-03-10 03:00:00
546,2011-03-10 06:00:00
547,2011-03-10 09:00:00
548,2011-03-10 12:00:00
549,2011-03-10 15:00:00
550,2011-03-10 18:00:00
551,2011-03-10 21:00:00
552,2011-03-11 00:00:00
553,2011-03-11 03:00:00
554,2011-03-11 06:00:00
555,2011-03-11 09:00:00
556,2011-03-11 12:00:00
557,2011-03-11 15:00:00
558,2011-03-11 18:00:00
559,2011-03-11 21:00:00
560,2011-03-12 00:00:00
561,2011-03-12 03:00:00
562,2011-03-12 06:00:00
563,2011-03-12 09:00:00
564,2011-03-12 12:00:00
565,2011-03-12 15:00:00
566,2011-03-12 18:00:00
567,2011-03-12 21:00:00
568,2011-03-13 00:00:00
569,2011-03-13 03:00:00
570,2011-03-13 06:00:00
571,2011-03-13 09:00:00
572,2011-03-13 12:00:00
573,2011-03-13 15:00:00
574,2011-03-13 18:00:00
575,2011-03-13 21:00:00
576,2011-03-14 00:00:00
577,2011-03-14 03:00:00
578,2011-03-14 06:00:00
579,2011-03-14 09:00:00
580,2011-03-14 12:00:00
581,2011-03-14 15:00:00
582,2011-03-14 18:00:00
583,2011-03-14 21:00:00
584,2011-03-15 00:00:00
585,2011-03-15 03:00:00
586,2011-03-15 06:00:00
587,2011-03-15 09:00:00
588,2011-03-15 12:00:00
589,2011-03-15 15:00:00
590,2011-03-15 18:00:00
591,2011-03-15 21:00:00
592,2011-03-16 00:00:00
593,2011-03-16 03:00:00
594,2011-03-16 06:00:00
595,2011-03-16 09:00:00
596,2011-03-16 12:00:00
597,2011-03-16 15:00:00
598,2011-03-16 18:00:00
599,2011-03-16 21:00:00
600,2011-03-17 00:00:00
601,2011-03-17 03:00:00
602,2011-03-17 06:00:00
603,2011-03-17 09:00:00
604,2011-03-17 12:00:00
605,2011-03-17 15:00:00
606,2011-03-17 18:00:00
607,2011-03-17 21:00:00
608,2011-03-18 00:00:00
609,2011-03-18 03:00:00
610,2011-03-18 06:00:00
611,2011-03-18 09:00:00
612,2011-03-18 12:00:00
613,2011-03-18 15:00:00
614,2011-03-18 18:00:00
615,2011-03-18 21:00:00
616,2011-03-19 00:00:00
617,2011-03-19 03:00:00
618,2011-03-19 06:00:00
619,2011-03-19 09:00:00
620,2011-03-19 12:00:00
621,2011-03-19 15:00:00
622,2011-03-19 18:00:00
623,2011-03-19 21:00:00
624,2011-03-20 00:00:00
625,2011-03-20 03:00:00
626,2011-03-20 06:00:00
627,2011-03-20 09:00:00
628,2011-03-20 12:00:00
629,2011-03-20 15:00:00
630,2011-03-20 18:00:00
631,2011-03-20 21:00:00
632,2011-03-21 00:00:00
633,2011-03-21 03:00:00
634,2011-03-21 06:00:00
635,2011-03-21 09:00:00
636,2011-03-21 12:00:00
637,2011-03-21 15:00:00
638,2011-03-21 18:00:00
639,2011-03-21 21:00:00
640,2011-03-22 00:00:00
641,2011-03-22 03:00:00
642,2011-03-22 06:00:00
643,2011-03-22 09:00:00
644,2011-03-22 12:00:00
645,2011-03-22 15:00:00
646,2011-03-22 18:00:00
647,2011-03-22 21:00:00
648,2011-03-23 00:00:00
649,2011-03-23 03:00:00
650,2011-03-23 06:00:00
651,2011-03-23 09:00:00
652,2011-03-23 12:00:00
653,2011-03-23 15:00:00
654,2011-03-23 18:00:00
655,2011-03-23 21:00:00
656,2011-03-24 00:00:00
657,2011-03-24 03:00:00
658,2011-03-24 06:00:00
659,2011-03-24 09:00:00
660,2011-03-24 12:00:00
661,2011-03-24 15:00:00
662,2011-03-24 18:00:00
663,2011-03-24 21:00:00
664,2011-03-25 00:00:00
665,2011-03-25 03:00:00
666,2011-03-25 06:00:00
667,2011-03-25 09:00:00
668,2011-03-25 12:00:00
669,2011-03-25 15:00:00
670,2011-03-25 18:00:00
671,2011-03-25 21:00:00
672,2011-03-26 00:00:00
673,2011-03-26 03:00:00
674,2011-03-26 06:00:00
675,2011-03-26 09:00:00
676,2011-03-26 12:00:00
677,2011-03-26 15:00:00
678,2011-03-26 18:00:00
679,2011-03-26 21:00:00
680,2011-03-27 00:00:00
681,2011-03-27 03:00:00
682,2011-03-27 06:00:00
683,2011-03-27 09:00:00
684,2011-03-27 12:00:00
685,2011-03-27 15:00:00
686,2011-03-27 18:00:00
687,2011-03-27 21:00:00
688,2011-03-28 00:00:00
689,2011-03-28 03:00:00
690,2011-03-28 06:00:00
691,2011-03-28 09:00:00
692,2011-03-28 12:00:00
693,2011-03-28 15:00:00
694,2011-03-28 18:00:00
695,2011-03-28 21:00:00
696,2011-03-29 00:00:00
697,2011-03-29 03:00:00
698,2011-03-29 06:00:00
699,2011-03-29 09:00:00
700,2011-03-29 12:00:00
701,2011-03-29 15:00:00
702,2011-03-29 18:00:00
703,2011-03-29 21:00:00
704,2011-03-30 00:00:00
705,2011-03-30 03:00:00
706,2011-03-30 06:00:00
707,2011-03-30 09:00:00
708,2011-03-30 12:00:00
709,2011-03-30 15:00:00
710,2011-03-30 18:00:00
711,2011-03-30 21:00:00
712,2011-03-31 00:00:00
713,2011-03-31 03:00:00
714,2011-03-31 06:00:00
715,2011-03-31 09:00:00
716,2011-03-31 12:00:00
717,2011-03-31 15:00:00
718,2011-03-31 18:00:00
719,2011-03-31 21:00:00
720,2011-04-01 00:00:00
721,2011-04-01 03:00:00
722,2011-04-01 06:00:00
723,2011-04-01 09:00:00
724,2011-04-01 12:00:00
725,2011-04-01 15:00:00
726,2011-04-01 18:00:00
727,2011-04-01 21:00:00
728,2011-04-02 00:00:00
729,2011-04-02 03:00:00
730,2011-04-02 06:00:00
731,2011-04-02 09:00:00
732,2011-04-02 12:00:00
733,2011-04-02 15:00:00
734,2011-04-02 18:00:00
735,2011-04-02 21:00:00
736,2011-04-03 00:00:00
737,2011-04-03 03:00:00
738,2011-04-03 06:00:00
739,2011-04-03 09:00:00
740,2011-04-03 12:00:00
741,2011-04-03 15:00:00
742,2011-04-03 18:00:00
743,2011-04-03 21:00:00
744,2011-04-04 00:00:00
745,2011-04-04 03:00:00
746,2011-04-04 06:00:00
747,2011-04-04 09:00:00
748,2011-04-04 12:00:00
749,2011-04-04 15:00:00
750,2011-04-04 18:00:00
751,2011-04-04 21:00:00
752,2011-04-05 00:00:00
753,2011-04-05 03:00:00
754,2011-04-05 06:00:00
755,2011-04-05 09:00:00
756,2011-04-05 12:00:00
757,2011-04-05 15:00:00
758,2011-04-05 18:00:00
759,2011-04-05 21:00:00
760,2011-04-06 00:00:00
761,2011-04-06 03:00:00
762,2011-04-06 06:00:00
763,2011-04-06 09:00:00
764,2011-04-06 12:00:00
765,2011-04-06 15:00:00
766,2011-04-06 18:00:00
767,2011-04-06 21:00:00
768,2011-04-07 00:00:00
769,2011-04-07 03:00:00
770,2011-04-07 06:00:00
771,2011-04-07 09:00:00
772,2011-04-07 12:00:00
773,2011-04-07 15:00:00
774,2011-04-07 18:00:00
775,2011-04-07 21:00:00
776,2011-04-08 00:00:00
777,2011-04-08 03:00:00
778,2011-04-08 06:00:00
779,2011-04-08 09:00:00
780,2011-04-08 12:00:00
781,2011-04-08 15:00:00
782,2011-04-08 18:00:00
783,2011-04-08 21:00:00
784,2011-04-09 00:00:00
785,2011-04-09 03:00:00
786,2011-04-09 06:00:00
787,2011-04-09 09:00:00
788,2011-04-09 12:00:00
789,2011-04-09 15:00:00
790,2011-04-09 18:00:00
791,2011-04-09 21:00:00
792,2011-04-10 00:00:00
793,2011-04-10 03:00:00
794,2011-04-10 06:00:00
795,2011-04-10 09:00:00
796,2011-04-10 12:00:00
797,2011-04-10 15:00:00
798,2011-04-10 18:00:00
799,2011-04-10 21:00:00
800,2011-04-11 00:00:00
801,2011-04-11 03:00:00
802,2011-04-11 06:00:00
803,2011-04-11 09:00:00
804,2011-04-11 12:00:00
805,2011-04-11 15:00:00
806,2011-04-11 18:00:00
807,2011-04-11 21:00:00
808,2011-04-12 00:00:00
809,2011-04-12 03:00:00
810,2011-04-12 06:00:00
811,2011-04-12 09:00:00
812,2011-04-12 12:00:00
813,2011-04-12 15:00:00
814,2011-04-12 18:00:00
815,2011-04-12 21:00:00
816,2011-04-13 00:00:00
817,2011-04-13 03:00:00
818,2011-04-13 06:00:00
819,2011-04-13 09:00:00
820,2011-04-13 12:00:00
821,2011-04-13 15:00:00
822,2011-04-13 18:00:00
823,2011-04-13 21:00:00
824,2011-04-14 00:00:00
825,2011-04-14 03:00:00
826,2011-04-14 06:00:00
827,2011-04-14 09:00:00
828,2011-04-14 12:00:00
829,2011-04-14 15:00:00
830,2011-04-14 18:00:00
831,2011-04-14 21:00:00
832,2011-04-15 00:00:00
833,2011-04-15 03:00:00
834,2011-04-15 06:00:00
835,2011-04-15 09:00:00
836,2011-04-15 12:00:00
837,2011-04-15 15:00:00
838,2011-04-15 18:00:00
839,2011-04-15 21:00:00
840,2011-04-16 00:00:00
841,2011-04-16 03:00:00
842,2011-04-16 06:00:00
843,2011-04-16 09:00:00
844,2011-04-16 12:00:00
845,2011-04-16 15:00:00
846,2011-04-16 18:00:00
847,2011-04-16 21:00:00
848,2011-04-17 00:00:00
849,2011-04-17 03:00:00
850,2011-04-17 06:00:00
851,2011-04-17 09:00:00
852,2011-04-17 12:00:00
853,2011-04-17 15:00:00
854,2011-04-17 18:00:00
855,2011-04-17 21:00:00
856,2011-04-18 00:00:00
857,2011-04-18 03:00:00
858,2011-04-18 06:00:00
859,2011-04-18 09:00:00
860,2011-04-18 12:00:00
861,2011-04-18 15:00:00
862,2011-04-18 18:00:00
863,2011-04-18 21:00:00
864,2011-04-19 00:00:00
865,2011-04-19 03:00:00
866,2011-04-19 06:00:00
867,2011-04-19 09:00:00
868,2011-04-19 12:00:00
869,2011-04-19 15:00:00
870,2011-04-19 18:00:00
871,2011-04-19 21:00:00
872,2011-04-20 00:00:00
873,2011-04-20 03:00:00
874,2011-04-20 06:00:00
875,2011-04-20 09:00:00
876,2011-04-20 12:00:00
877,2011-04-20 15:00:00
878,2011-04-20 18:00:00
879,2011-04-20 21:00:00
880,2011-04-21 00:00:00
881,2011-04-21 03:00:00
882,2011-04-21 06:00:00
883,2011-04-21 09:00:00
884,2011-04-21 12:00:00
885,2011-04-21 15:00:00
886,2011-04-21 18:00:00
887,2011-04-21 21:00:00
888,2011-04-22 00:00:00
889,2011-04-22 03:00:00
890,2011-04-22 06:00:00
891,2011-04-22 09:00:00
892,2011-04-22 12:00:00
893,2011-04-22 15:00:00
894,2011-04-22 18:00:00
895,2011-04-22 21:00:00
896,2011-04-23 00:00:00
897,2011-04-23 03:00:00
898,2011-04-23 06:00:00
899,2011-04-23 09:00:00
900,2011-04-23 12:00:00
901,2011-04-23 15:00:00
902,2011-04-23 18:00:00
903,2011-04-23 21:00:00
904,2011-04-24 00:00:00
905,2011-04-24 03:00:00
906,2011-04-24 06:00:00
907,2011-04-24 09:00:00
908,2011-04-24 12:00:00
909,2011-04-24 15:00:00
910,2011-04-24 18:00:00
911,2011-04-24 21:00:00
912,2011-04-25 00:00:00
913,2011-04-25 03:00:00
914,2011-04-25 06:00:00
915,2011-04-25 09:00:00
916,2011-04-25 12:00:00
917,2011-04-25 15:00:00
918,2011-04-25 18:00:00
919,2011-04-25 21:00:00
920,2011-04-26 00:00:00
921,2011-04-26 03:00:00
922,2011-04-26 06:00:00
923,2011-04-26 09:00:00
924,2011-04-26 12:00:00
925,2011-04-26 15:00:00
926,2011-04-26 18:00:00
927,2011-04-26 21:00:00
928,2011-04-27 00:00:00
929,2011-04-27 03:00:00
930,2011-04-27 06:00:00
931,2011-04-27 09:00:00
